Title,MRP(Rs.),Savings(%),Price(Rs.),Brand,Model,Capacity,Annual Energy Consumption,Date,Link
"Lloyd 1.5 Ton 3 Star 5 in 1 Convertible Inverter Split AC with Anti-Viral + PM 2.5 Filter, Wi-Fi Ready",61990.0,37%,38989.0,Lloyd,GLS18I3FWSCV,1.5 Tons,1137 kWh,18-04-2023,https://amazon.in/Lloyd-Convertible-Anti-Viral-GLS18I3FWSCV-Installation/dp/B0BV3FY169/ref=sr_1_167?qid=1681802383&s=kitchen&sr=1-167
"Godrej 1.5 Ton 3 Star, Hot & Cold, Inverter Split AC",65900.0,36%,41990.0,Godrej,AC 1.5T SIH 18ITC3-WWR,1.5 Tons,959.23 kWh,18-04-2023,https://amazon.in/Godrej-Anti-Freeze-1-5T-SIH-18ITC3-WWR/dp/B0BP817FQT/ref=sr_1_169?qid=1681802383&s=kitchen&sr=1-169
Panasonic 2.2 Ton 4 Star Inverter Split Smart AC,87900.0,20%,69989.0,Panasonic,CS/CU-QU26ZKYF,2.2 Tons,1349.53 kWh,18-04-2023,https://amazon.in/Panasonic-Convertible-Purification-CS-CU-QU26ZKYF/dp/B0BRXPTPD5/ref=sr_1_171?qid=1681802724&s=kitchen&sr=1-171
Voltas 1.5 Ton 3 Star Split Inverter AC - White,61990.0,42%,35880.0,Voltas,183V XAZX,1.5 Tons,1056 kWh,18-04-2023,https://amazon.in/Voltas-1-5-Star-Split-Inverter/dp/B09X5JLZP4/ref=sr_1_173?qid=1681802724&s=kitchen&sr=1-173
Haier 1.2 Ton 3 Star Inverter Split AC,60991.0,47%,32490.0,Haier,HSU15V-TMS3BE-INV,1.2 Tons,293.54 kWh,18-04-2023,https://amazon.in/Haier-Inverter-Copper-Antibacterial-HSU15V-TMS3BE-INV/dp/B0BSFPY51K/ref=sr_1_180?qid=1681802724&s=kitchen&sr=1-180
Lloyd 1.5 Ton 5 Star Split Inverter AC - White,61990.0,36%,39780.0,Lloyd,GLS18I5FWCBP,1.5 Tons,895 kWh,18-04-2023,https://amazon.in/Lloyd-1-5-Star-Split-Inverter/dp/B09X5LNB3K/ref=sr_1_183?qid=1681802724&s=kitchen&sr=1-183
Carrier 1.0 Ton 5 Star Emperia CXI Inverter Split AC,59990.0,33%,39980.0,Carrier,12K 5 STAR EMPERIA CXi HYBRIDJET,1 Tons,594.17 kWh,18-04-2023,https://amazon.in/Carrier-Emperia-Inverter-Split-CAI12EN5R30W1/dp/B09W29V8RK/ref=sr_1_184?qid=1681802724&s=kitchen&sr=1-184
"Haier 1.5 Ton 3 Star, WiFi, Inverter Split AC",67990.0,43%,38490.0,Haier,HSU18K-PYFR3BE1-INV,1.5 Tons,372.5 kWh,18-04-2023,https://amazon.in/Haier-Inverter-Convertible-Antibacterial-HSU18K-PYFR3BE1-INV/dp/B0BSFQ4QQM/ref=sr_1_186?qid=1681802724&s=kitchen&sr=1-186
Blue Star 2.0 Ton 3 Star Fixed Speed Split AC,79990.0,31%,54880.0,Blue Star,FA324YLU,2 Tons,642.4 kWh,18-04-2023,https://amazon.in/Blue-Star-Fixed-Copper-FA324YLU/dp/B09RFD8SW4/ref=sr_1_187?qid=1681802724&s=kitchen&sr=1-187
Voltas Split Inverter AC Floral 1.5 Ton 4 Star,62490.0,36%,40150.0,Voltas,4503079- 184V SZS-Floral,1.5 Tons,966.04 kWh,18-04-2023,https://amazon.in/Voltas-Inverter-Floral-184V-SZS-Floral/dp/B09SM74WDR/ref=sr_1_190?qid=1681802724&s=kitchen&sr=1-190
