Title,MRP(Rs.),Savings(%),Price(Rs.),Brand,Model,Capacity,Annual Energy Consumption,Date,Link
"Daikin 1.5 Ton 3 Star KATAI Technology, Fixed Speed Split AC",55600,27%,40690,Daikin,FTL50UV16V7,1.5 Tons,1009.44 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Daikin-KATAI-Technology-Fixed-FTL50UV16V7/dp/B09R8YQBM6/ref=sr_1_106?qid=1681801699&s=kitchen&sr=1-106
Carrier 1 Ton 3 Star Fixed Speed Split AC,54590,41%,31990,Carrier,CAS12ES3R32F1,1 Tons,727.66 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Carrier-Split-Copper-ESTER-filter/dp/B0B67S3JH9/ref=sr_1_107?qid=1681801699&s=kitchen&sr=1-107
"Hexzone Floor AC Stand Certified Special Coated Super Quality Split Ac Air Conditioner Outdoor Unit Stand for 1 Ton, 1.1 Ton, 1.2 Ton, 1.5 Ton, 2 Ton Outdoor Units",1249,46%,679,,,,,18-04-2023,https://amazon.in/Hexzone-Certified-Special-Quality-Conditioner/dp/B08CH9C1NG/ref=sr_1_108?qid=1681801699&s=kitchen&sr=1-108
"Portable Air Conditioner,4000mAh Rechargeable Office Air Conditioner in Three Speeds&Spray Speed,Portable Evaporative Cooling Fan with Spray for Home Bedroom Office",9999,36%,6429,,,,,18-04-2023,https://amazon.in/Portable-Conditioner-4000mAh-Rechargeable-Evaporative/dp/B09TZW2GC1/ref=sr_1_109?qid=1681801699&s=kitchen&sr=1-109
Panasonic 1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC,72900,30%,50990,Panasonic,CS/CU-XU18YKY5W,1.5 Tons,774.19 Kilowatt Hours,18-04-2023,https://amazon.in/Panasonic-Convertible-additional-Purification-CU-XU18YKY5W/dp/B0BRJFX326/ref=sr_1_110?qid=1681801699&s=kitchen&sr=1-110
Daikin 1.5 Ton 5 Star Dust Filter Window AC,,,,Daikin,FRWF50TV162,1.5 Tons,1133 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Daikin-1-5-Ton-Star-Window/dp/B08BQHB8HD/ref=sr_1_111?qid=1681801699&s=kitchen&sr=1-111
SPLIT AC - 1.5TR CLASS HITACHI IZEN 3400FXL FROST WASH INVERTER - R32 - RAS.G318PCAISF,,,,Hitachi,RAS.G318PCAISF,1.5 Tons,1024.34 Kilowatt Hours,18-04-2023,https://amazon.in/SPLIT-AC-HITACHI-INVERTER-RAS-G318PCAISF/dp/B0BTVRM525/ref=sr_1_112?qid=1681801699&s=kitchen&sr=1-112
Equator 220V/950W Silver Outdoor Air Conditioner Freestanding Weatherized,49000,39%,29990,Equator Advanced Appliances,OAC 2500,0.75 Tons,950 Watts,18-04-2023,https://amazon.in/Equator-Outdoor-Conditioner-Freestanding-Weatherized/dp/B0BGS1HMT9/ref=sr_1_113?qid=1681801699&s=kitchen&sr=1-113
Hitachi 1.0 Ton 3 Star Fixed Speed Split AC,,,,Hitachi,RAS.B312PCAIBA,1 Tons,706.76 Kilowatt Hours,18-04-2023,https://amazon.in/Hitachi-Copper-Filter-Senpai-R32-RAS-B312PCAIBA/dp/B0BQ79YT4N/ref=sr_1_114?qid=1681801699&s=kitchen&sr=1-114
Godrej 1.5 Ton 3 Star Inverter Split AC,43900,23%,33990,Godrej,40101701SD00984,1.5 Tons,1046.3 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Godrej-convertible-Nano-Coated-anti-viral-18TTC3-GVA/dp/B09TFKW51W/ref=sr_1_115?qid=1681801699&s=kitchen&sr=1-115
Carrier 1.5 Ton 3 Star Non-Inverter Split AC,55990,29%,39980,Carrier,CAS18DN3R39F0+CF183R3AC9,,,18-04-2023,https://amazon.in/Carrier-Inverter-Spilt-Copper-Durafresh-Nx/dp/B0861T6538/ref=sr_1_116?qid=1681801699&s=kitchen&sr=1-116
Blue Star Air Conditioner|1.5 Ton 3 Star|Fixed Speed Split AC|Copper|FC318DNU|2022|White,59990,33%,39990,Blue Star,FC318DNU,1.5 Tons,1079.88 Watts,18-04-2023,https://amazon.in/Blue-Star-Conditioner-Copper-FC318DNU/dp/B0BMB2N36Y/ref=sr_1_117?qid=1681801699&s=kitchen&sr=1-117
"Daikin 2.02 Ton 3 Star, Inverter Split AC",86800,28%,62590,Daikin,FTKL71UV16,2.02 Tons,1372.85 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Daikin-Inverter-Copper-Filter-FTKL71UV16/dp/B0BHYKCBBK/ref=sr_1_118?qid=1681801699&s=kitchen&sr=1-118
Hitachi 1.5 Ton 5 Star Inverter Split AC,60500,30%,42490,Hitachi,RSRG518HEEA,1.5 Tons,897.84 Kilowatt Hours,18-04-2023,https://amazon.in/Hitachi-Inverter-Copper-Filter-RSRG518HEEA/dp/B08Z47LWL4/ref=sr_1_119?qid=1681801699&s=kitchen&sr=1-119
LG DUAL Inverter Window AC,,,,LG,LG WIN AC RW-Q18WWZA.ANLG,1.5 Tons,5000 Watts,18-04-2023,https://amazon.in/LG-Inverter-AC-Convertible-Cooling/dp/B0BX6YB3H5/ref=sr_1_120?qid=1681801699&s=kitchen&sr=1-120
Amazon Basics 1 Ton 4 Star Fixed Speed Window AC,33990,24%,25790,AmazonBasics,AB2021INAC029,1 Tons,,18-04-2023,https://amazon.in/AmazonBasics-1-5-Ton-Air-Conditioner/dp/B08J8V4QHD/ref=sr_1_121?qid=1681801699&s=kitchen&sr=1-121
Daikin 1 Ton 5 Star Inverter Split AC,58800,31%,40773,Daikin,FTKR35U,1 Tons,523.54 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Daikin-Inverter-Copper-Filter-FTKR35U/dp/B09R4RJ4F2/ref=sr_1_122?qid=1681801699&s=kitchen&sr=1-122
"Voltas 1 Ton 3 Star, Inverter Split AC",56990,45%,31599,Voltas,123V Vectra Pride,1 Tons,3300 Watts,18-04-2023,https://amazon.in/Voltas-Adjustable-Inverter-Copper-VECTRA/dp/B0BBFWNK7G/ref=sr_1_123?qid=1681802039&s=kitchen&sr=1-123
Voltas 2 Ton 5 Star Inverter Split AC,84990,32%,57990,Voltas,245V CAZZ,2 Tons,1560 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Voltas-Inverter-Condenser-245V-CAZZ/dp/B0B1BYQ8XP/ref=sr_1_124?qid=1681802039&s=kitchen&sr=1-124
AC Stand/Heavy Duty Air Conditioner Outdoor Unit Mounting Bracket,999,30%,699,,,,,18-04-2023,https://amazon.in/Stand-Conditioner-Outdoor-Mounting-Bracket/dp/B0BH8CN285/ref=sr_1_125?qid=1681802039&s=kitchen&sr=1-125
"Voltas 2 Ton 3 Star, Fixed Speed Split AC",81990,38%,50499,Voltas,243 Vectra Plus,2 Tons,6500 Watts,18-04-2023,https://amazon.in/Voltas-Anti-dust-243-Vectra-Plus/dp/B0BQR3D9V6/ref=sr_1_126?qid=1681802039&s=kitchen&sr=1-126
Haier 1.5 Ton 3 Star Inverter Split AC,65990,47%,34989,Haier,HSU18K-PYS3BE1-INV,1.5 Tons,1020.54 Watts,18-04-2023,https://amazon.in/Haier-Inverter-Convertible-Antibacterial-HSU18K-PYS3BE1-INV/dp/B0BSFS5HF9/ref=sr_1_127?qid=1681802039&s=kitchen&sr=1-127
Hexzone® TAFTA Outdoor Ac Stand,1349,56%,599,,,,,18-04-2023,https://amazon.in/Hexzone%C2%AE-TAFTA-Outdoor-Stand-Wall/dp/B0B2SK5B6Y/ref=sr_1_128?qid=1681802039&s=kitchen&sr=1-128
Voltas Split AC 1.5 Ton 3 Star,59990,37%,37980,Voltas,4503195- 183 DZR,1.5 Tons,1102.33 Kilowatt Hours,18-04-2023,https://amazon.in/Voltas-Split-Star-183-DZR/dp/B09SN67FVJ/ref=sr_1_129?qid=1681802039&s=kitchen&sr=1-129
Voltas 2 Ton 3 Star Inverter Compressor Split AC,75990,37%,47999,Voltas,SAC 243V SZS(R32),2 Tons,129.92 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Voltas-243V-SZS-Split-Inverter/dp/B089QD4PDH/ref=sr_1_130_mod_primary_new?qid=1681802039&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-130
Godrej 1 Ton 3 Star Inverter Split AC,41900,32%,28480,Godrej,SIC 12TTC3-WWA,1 Tons,694.03 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Godrej-convertible-Nano-Coated-SIC-12TTC3-WWA/dp/B0BT9WXSC1/ref=sr_1_131?qid=1681802039&s=kitchen&sr=1-131
LG 1.5 Ton 4 Star DUAL Inverter Split AC,59990,27%,43890,LG,PS-Q19RNYE,1.5 Tons,920.82 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/LG-Convertible-Anti-Virus-Protection-PS-Q19RNYE/dp/B09NS5Y4BG/ref=sr_1_132?qid=1681802039&s=kitchen&sr=1-132
"Ogeneral ASGA24BMWA 2.1 Ton 3 Star Fixed Speed Split Air Conditioner ASGA24BMWA, white",,,,Ogeneral,ASGA24BMWA,2 Tons,1250 Watts,18-04-2023,https://amazon.in/Ogeneral-ASGA24BMWA-Fixed-Speed-Conditioner/dp/B09DX2ZR2V/ref=sr_1_133?qid=1681802039&s=kitchen&sr=1-133
LG 1.5 Ton 3 Star Hot & Cold DUAL Inverter Split AC,,,,LG,PS-H19VNXF,1.5 Tons,1015.7 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/LG-Inverter-Convertible-Allergic-PS-H19VNXF/dp/B09NS5B6TP/ref=sr_1_134?qid=1681802039&s=kitchen&sr=1-134
Daikin 1.0 Ton 4 Star Inverter Split AC,48200,17%,39990,Daikin,ATKL35UV16,1 Tons,680 Kilowatt Hours,18-04-2023,https://amazon.in/Daikin-Inverter-Split-ATKL35UV16-White/dp/B09SW6XS13/ref=sr_1_135?qid=1681802039&s=kitchen&sr=1-135
Godrej 1 Ton 3 Star Inverter Split AC,36900,19%,29990,Godrej,40101701SD01030,1 Tons,752.51 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Godrej-Inverter-Nano-Coated-anti-viral-12TTC3-GVA/dp/B09TL67VYW/ref=sr_1_136?qid=1681802039&s=kitchen&sr=1-136
Voltas Split Inverter AC 1.5 Ton 3 Star,,,,Voltas,4503051- 183V CZQ,1.5 Tons,1036.6 Kilowatt Hours,18-04-2023,https://amazon.in/Voltas-Split-Inverter-183V-CZQ/dp/B09G391BM1/ref=sr_1_137?qid=1681802039&s=kitchen&sr=1-137
Haier Frost Clean Inverter Split AC,52000,2%,51000,Haier,HSU22E-TXS3B(INV),2 Tons,1291 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Haier-Inverter-Rating-HSU22E-TXS3B-INV/dp/B09SP8BLL3/ref=sr_1_138?qid=1681802039&s=kitchen&sr=1-138
Godrej 1.5 Ton 5 Star Inverter Split AC,54900,32%,37499,Godrej,GIC 18HTC5-WTA,1.5 Tons,865.83 Kilowatt Hours,18-04-2023,https://amazon.in/Godrej-Inverter-Copper-GIC-18HTC5-WTA/dp/B083NYWBWK/ref=sr_1_139?qid=1681802039&s=kitchen&sr=1-139
"Daikin 1.8 Ton 3 Star KATAI Technology, Fixed Speed Split AC",,,,Daikin,FTQ60UV16U5,1.8 Tons,1357.01 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Daikin-KATAI-Technology-Fixed-FTQ60UV16U5/dp/B09R9RQZ9L/ref=sr_1_140?qid=1681802039&s=kitchen&sr=1-140
Samsung 1 Ton 3 Star Inverter Split AC,50990,33%,34350,Samsung,AR12CY3ZAGD,1 Tons,960 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Samsung-Inverter-Convertible-Anti-bacterial-AR12CY3ZAGD/dp/B0BSGSR6T9/ref=sr_1_141?qid=1681802039&s=kitchen&sr=1-141
Voltas 2 Ton 2 Star Window AC,59999,35%,38980,Voltas,242LZH,2 Tons,1660.46 Kilowatt Hours,18-04-2023,https://amazon.in/Voltas-Star-rating-Window-White/dp/B07DB7HWZC/ref=sr_1_142?qid=1681802039&s=kitchen&sr=1-142
Panasonic 1.5 Ton 4 Star Wi-Fi Inverter Smart Split AC,66900,30%,46990,Panasonic,CS/CU-PU18YKY4W,1.5 Tons,885.4 Kilowatt Hours,18-04-2023,https://amazon.in/Panasonic-Convertible-additional-Purification-CU-PU18YKY4W/dp/B0BRJK7K99/ref=sr_1_143?qid=1681802039&s=kitchen&sr=1-143
O-General 1 Ton 5 Star EFFICIENT & TROPICAL Inverter Split AC,,,,,,,,18-04-2023,https://amazon.in/General-EFFICIENT-TROPICAL-Condenser-ASGG12CGTB-B/dp/B09JGNFZ54/ref=sr_1_144?qid=1681802039&s=kitchen&sr=1-144
Blue Star Air Conditioner|2 Ton 5 Star|Inverter Split AC|IA524DNU|2022|White,79990,25%,59980,Blue Star,IA524DNU,2 Tons,935.85 Watts,18-04-2023,https://amazon.in/Blue-Star-Conditioner-Inverter-IA524DNU/dp/B0BMB2MQ5L/ref=sr_1_145?qid=1681802039&s=kitchen&sr=1-145
Panasonic 1 Ton 5 Star Wi-Fi Inverter Smart Split AC,64400,30%,44990,Panasonic,CS/CU-XU12YKY5W,1 Tons,531.41 Kilowatt Hours,18-04-2023,https://amazon.in/Panasonic-Convertible-additional-Purification-CU-XU12YKY5W/dp/B0BRJG2P64/ref=sr_1_146?qid=1681802039&s=kitchen&sr=1-146
Blue Star 1.5 Ton 2 Star Fixed Speed Split AC,52500,32%,35490,Blue Star,FA218YNU,1.5 Tons,1127.1 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Blue-Star-Corrosive-Stabiliser-FA218YNU/dp/B0BQVPKT74/ref=sr_1_147?qid=1681802383&s=kitchen&sr=1-147
Lloyd Havells 0.8 Ton 3 Star Inverter Split Ac,41990,32%,28599,Lloyd,GLS09I3FWSEL,0.8 Tons,585.16 Kilowatt Hours,18-04-2023,https://amazon.in/Lloyd-Inverter-Anti-Viral-Filter-GLS09I3FWSEL/dp/B09SGN2N8P/ref=sr_1_148?qid=1681802383&s=kitchen&sr=1-148
Samsung 1 Ton 3 Star Wind-Free Technology Inverter Split AC,54990,32%,37370,Samsung,AR12CY3APWK,1 Tons,960 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Samsung-Technology-Convertible-Anti-bacterial-AR12CY3APWK/dp/B0BSGTWM7Y/ref=sr_1_149?qid=1681802383&s=kitchen&sr=1-149
LG 1 Ton 3 Star DUAL Inverter Split AC,75990,50%,37890,LG,PS-Q12YNXE1,1 Tons,680.58 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/LG-Convertible-Anti-Virus-Protection-PS-Q12YNXE1/dp/B09NS6KFP1/ref=sr_1_150?qid=1681802383&s=kitchen&sr=1-150
LG 2.0 Ton 3 Star AI DUAL Inverter Split AC,85990,34%,56800,LG,PS-Q24HNXE,2 Tons,1232.78 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/LG-Convertible-Anti-Virus-Protection-PS-Q24HNXE/dp/B09NS4BRK3/ref=sr_1_151?qid=1681802383&s=kitchen&sr=1-151
Carrier 1.5 Ton 3 Star Inverter Split AC,53990,26%,39870,Carrier,CAI18EK3R30F0 ESKO NEO-i INV,1.5 Tons,1058.16 Kilowatt Hours,18-04-2023,https://amazon.in/Carrier-Inverter-CAI18EK3R30F0-ESKO-NEO-i/dp/B084XM2CMC/ref=sr_1_152?qid=1681802383&s=kitchen&sr=1-152
Carrier Emperia Bxi 18K 1.5 Ton 3 Star Split System Hybridjet Inverter AC with Flexicool Technology,44999,10%,40600,Carrier,18K 3 STAR EMPERIA BXI HYBRIDJET,,1058.16 Kilowatt Hours,18-04-2023,https://amazon.in/Carrier-18K-Hybridjet-Flexicool-Technology/dp/B097TQK7M6/ref=sr_1_153?qid=1681802383&s=kitchen&sr=1-153
Daikin 1.5 Ton 5 Star Inverter Split AC,81200,25%,60897,Daikin,FTKF50U,1.5 Tons,667.36 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Daikin-Inverter-Copper-Filter-FTKF50U/dp/B09R8VM7PW/ref=sr_1_154?qid=1681802383&s=kitchen&sr=1-154
Blue Star 1.5 Ton 5 Star Inverter Window AC,79990,49%,40980,Blue Star,WIA518LN,1.5 Tons,1565 Watts,18-04-2023,https://amazon.in/Blue-Star-Inverter-Window-WIA518LN/dp/B09RTFZMXK/ref=sr_1_155?qid=1681802383&s=kitchen&sr=1-155
Voltas 1 Ton 5 Star Inverter Split AC,57990,34%,37990,Voltas,125V DZV,1 Tons,,18-04-2023,https://amazon.in/Voltas-Inverter-Copper-125V-DZV/dp/B079MD88PJ/ref=sr_1_156?qid=1681802383&s=kitchen&sr=1-156
Samsung 1.5 Ton 3 Star Inverter Split AC,60990,36%,38880,Samsung,AR18CY3ZAGD,1.5 Tons,1560 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Samsung-Inverter-Convertible-Anti-bacterial-AR18CY3ZAGD/dp/B0BSGT2565/ref=sr_1_157?qid=1681802383&s=kitchen&sr=1-157
Voltas 1 Ton 3 Star Split Air Conditioner with High Ambient Cooling.,59990,44%,33480,Voltas,123V CZQ,,940 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Voltas-Conditioner-Cooling-123V-CZQ/dp/B097YQPMB5/ref=sr_1_158?qid=1681802383&s=kitchen&sr=1-158
"Voltas Adjustable Inverter Split System AC, 1.5 Ton, 3 Star-183V CAZAZ",,,,Voltas,183V CAZAZ,1.5 Tons,1036.6 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Voltas-Adjustable-Inverter-star-183V-CAZAZ/dp/B09YRWQ1CH/ref=sr_1_159?qid=1681802383&s=kitchen&sr=1-159
LG 1.5 Ton 5 Star Inverter Split AC,63990,30%,44990,LG,LS-Q18KNZA,1.5 Tons,835.5 Kilowatt Hours,18-04-2023,https://amazon.in/LG-Inverter-Split-Copper-LS-Q18KNZA/dp/B087ZXJ1V4/ref=sr_1_160?qid=1681802383&s=kitchen&sr=1-160
Carrier 1.5 Ton 5 Star Hybridjet Inverter Split AC CAI18IN5R31W1,,,,Carrier,CAI18IN5R31W1,1.5 Tons,871 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Carrier-Hybridjet-CAI18IN5R31W1-Flexicool-Anti-Viral/dp/B09YXR8FV9/ref=sr_1_161?qid=1681802383&s=kitchen&sr=1-161
"OGeneral 1.51066 Ton 3 Star Split Inverter Air Conditioner ASGA18CLWA-B, White",,,,OGeneral,ASGA18CLWA,1.5 Tons,1150 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/OGeneral-1-51066-Inverter-Conditioner-ASGA18CLWA-B/dp/B09WMTZH5C/ref=sr_1_162?qid=1681802383&s=kitchen&sr=1-162
Godrej 1 Ton 5 Star Inverter Split Ac,45000,24%,33999,Godrej,40101701SD00875,1 Tons,584.46 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Godrej-Inverter-12TGC5-refrigerant-Compressor/dp/B09FLZV82H/ref=sr_1_163?qid=1681802383&s=kitchen&sr=1-163
Voltas 1.5 Ton 3 Star Split Inverter Air Conditioner,59990,39%,36480,Voltas,183VCZP,,230 Kilowatt Hours,18-04-2023,https://amazon.in/Voltas-Split-Inverter-Conditioner-183VCZP/dp/B09HKW5PHC/ref=sr_1_164?qid=1681802383&s=kitchen&sr=1-164
"Ontel Arctic Air Freedom Portable Personal Air Cooler, Small",,,5065,Ontel,,,,18-04-2023,https://amazon.in/Ontel-Arctic-Freedom-Portable-Personal/dp/B08SHJ47JL/ref=sr_1_165?qid=1681802383&s=kitchen&sr=1-165
Daikin 1 Ton 5 Star Wi-Fi Inverter Split AC,55200,22%,42999,Daikin,FTKR35TV,1 Tons,576.84 Kilowatt Hours,18-04-2023,https://amazon.in/Daikin-Wi-Fi-Inverter-Copper-FTKR35TV/dp/B07QJ5ZTRF/ref=sr_1_166?qid=1681802383&s=kitchen&sr=1-166
"Lloyd 1.5 Ton 3 Star 5 in 1 Convertible Inverter Split AC with Anti-Viral + PM 2.5 Filter, Wi-Fi Ready",61990,37%,38989,Lloyd,GLS18I3FWSCV,1.5 Tons,1137 Kilowatt Hours,18-04-2023,https://amazon.in/Lloyd-Convertible-Anti-Viral-GLS18I3FWSCV-Installation/dp/B0BV3FY169/ref=sr_1_167?qid=1681802383&s=kitchen&sr=1-167
"Voltas 1.5 Ton 3 Star, Fixed Speed Split AC",,,,Voltas,183 Vectra Elegant,1.5 Tons,4900 Watts,18-04-2023,https://amazon.in/Voltas-Anti-dust-183-Vectra-Elegant/dp/B0BQR2WMHX/ref=sr_1_168?qid=1681802383&s=kitchen&sr=1-168
"Godrej 1.5 Ton 3 Star, Hot & Cold, Inverter Split AC",65900,36%,41990,Godrej,AC 1.5T SIH 18ITC3-WWR,1.5 Tons,959.23 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Godrej-Anti-Freeze-1-5T-SIH-18ITC3-WWR/dp/B0BP817FQT/ref=sr_1_169?qid=1681802383&s=kitchen&sr=1-169
Voltas 1 Ph Rot. SAC C2-N Venture I-Cassette AC,98100,24%,74890,Voltas,2.00T Venturei Casst1 Ph Rot. SAC(C2-N),2 Tons,,18-04-2023,https://amazon.in/Voltas-Ph-Rot-SAC-C2-N/dp/B00LWRR1Q6/ref=sr_1_170?qid=1681802383&s=kitchen&sr=1-170
Panasonic 2.2 Ton 4 Star Inverter Split Smart AC,87900,20%,69989,Panasonic,CS/CU-QU26ZKYF,2.2 Tons,1349.53 Kilowatt Hours,18-04-2023,https://amazon.in/Panasonic-Convertible-Purification-CS-CU-QU26ZKYF/dp/B0BRXPTPD5/ref=sr_1_171?qid=1681802724&s=kitchen&sr=1-171
LG 1.5 Ton 4 Star Inverter Split AC,59990,27%,43890,,,Large,,18-04-2023,https://amazon.in/LG-Convertible-Anti-Virus-Protection-MS-Q18HNYA1/dp/B08R93PZK5/ref=sr_1_172?qid=1681802724&s=kitchen&sr=1-172
Voltas 1.5 Ton 3 Star Split Inverter AC - White,61990,42%,35880,Voltas,183V XAZX,1.5 Tons,1056 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Voltas-1-5-Star-Split-Inverter/dp/B09X5JLZP4/ref=sr_1_173?qid=1681802724&s=kitchen&sr=1-173
1.5 Ton 5 Star Window AC,,,,Generic,CW-XN182AM,1.5 Tons,1168.9 Kilowatt Hours,18-04-2023,https://amazon.in/Window-Copper-Filter-Model-CW-XN182AM/dp/B09ZF356P4/ref=sr_1_174?qid=1681802724&s=kitchen&sr=1-174
"Personal Air Conditioners Portable AC Mini Air Conditioner for Office Dorm Room,Small AC Desktop Air Cooler Fan with Humidifier,3 Wind Speed,7 Color light",,,8711,,,,,18-04-2023,https://amazon.in/Personal-Conditioners-Portable-Conditioner-Humidifier/dp/B09R1XY38M/ref=sr_1_175?qid=1681802724&s=kitchen&sr=1-175
Lloyd 1.5 Ton 3 Star Heavy & Duty Hot & Cold Inverter Split AC,,,,Lloyd,GLS18H3FWRHD,1.5 Tons,1010.76 Kilowatt Hours,18-04-2023,https://amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-Model-GLS18H3FWRHD/dp/B0BTXLBSSN/ref=sr_1_176?qid=1681802724&s=kitchen&sr=1-176
Carrier 1 Ton 3 Star Non-Inverter Split AC,79990,56%,34980,Carrier,ESKO NEO R32 (F001) CAS12EK3R39F0,1 Tons,,18-04-2023,https://amazon.in/Carrier-Split-Copper-CAS12EK3R39F0-CF123R3CC90/dp/B07N2WLLJK/ref=sr_1_177?qid=1681802724&s=kitchen&sr=1-177
"Voltas Adjustable Inverter AC, 1.5 Ton, 3 Star- 183V Vectra Prime",64990,48%,33990,Voltas,,,,18-04-2023,https://amazon.in/Voltas-Adjustable-Inverter-Star-Vectra/dp/B0BSD3ZVSN/ref=sr_1_178?qid=1681802724&s=kitchen&sr=1-178
RISARYA H20R1203 IGBT 1PCS POWER TRANSISTOR 20A 1200V REVERSE CONDUCTING HEATING AND WIDELY USED IN INDUCTION COOKER T0247 PACKAGE,499,60%,199,RISARYA,,,,18-04-2023,https://amazon.in/RISARYA-H20R1203-TRANSISTOR-CONDUCTING-INDUCTION/dp/B0925R9BK2/ref=sr_1_179?qid=1681802724&s=kitchen&sr=1-179
Haier 1.2 Ton 3 Star Inverter Split AC,60991,47%,32490,Haier,HSU15V-TMS3BE-INV,1.2 Tons,804.22 Watts,18-04-2023,https://amazon.in/Haier-Inverter-Copper-Antibacterial-HSU15V-TMS3BE-INV/dp/B0BSFPY51K/ref=sr_1_180?qid=1681802724&s=kitchen&sr=1-180
Voltas 1.5 Ton 3 Star Non-Inverter Split AC,55890,30%,38990,Voltas,183DZZ,1.5 Tons,,18-04-2023,https://amazon.in/Voltas-Split-Copper-183DZZ-White/dp/B07N8FJJHD/ref=sr_1_181?qid=1681802724&s=kitchen&sr=1-181
Lloyd 1.5 Ton 3 Star Fixed Speed Split Air Conditioner With PM 2.5 Air Filter & Anti Viral Dust Filter Smart 4-way Swing,,,,Lloyd,GLS18C3YWADS,1.5 Tons,1110 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Lloyd-Fixed-Conditioner-Filter-Copper/dp/B0BTXK3F65/ref=sr_1_182?qid=1681802724&s=kitchen&sr=1-182
Lloyd 1.5 Ton 5 Star Split Inverter AC - White,61990,36%,39780,Lloyd,GLS18I5FWCBP,1.5 Tons,895 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Lloyd-1-5-Star-Split-Inverter/dp/B09X5LNB3K/ref=sr_1_183?qid=1681802724&s=kitchen&sr=1-183
Carrier 1.0 Ton 5 Star Emperia CXI Inverter Split AC,59990,33%,39980,Carrier,12K 5 STAR EMPERIA CXi HYBRIDJET,1 Tons,594.17 Kilowatts,18-04-2023,https://amazon.in/Carrier-Emperia-Inverter-Split-CAI12EN5R30W1/dp/B09W29V8RK/ref=sr_1_184?qid=1681802724&s=kitchen&sr=1-184
Symphony Diet 22i 22 Litre Air Cooler,,,,Symphony,,,,18-04-2023,https://amazon.in/Symphony-Diet-22i-Cooler-Control/dp/B00GII0U30/ref=sr_1_185?qid=1681802724&s=kitchen&sr=1-185
"Haier 1.5 Ton 3 Star, WiFi, Inverter Split AC",67990,43%,38490,Haier,HSU18K-PYFR3BE1-INV,1.5 Tons,1020.54 Watts,18-04-2023,https://amazon.in/Haier-Inverter-Convertible-Antibacterial-HSU18K-PYFR3BE1-INV/dp/B0BSFQ4QQM/ref=sr_1_186?qid=1681802724&s=kitchen&sr=1-186
Blue Star 2.0 Ton 3 Star Fixed Speed Split AC,79990,31%,54880,Blue Star,FA324YLU,2 Tons,1760 Watts,18-04-2023,https://amazon.in/Blue-Star-Fixed-Copper-FA324YLU/dp/B09RFD8SW4/ref=sr_1_187?qid=1681802724&s=kitchen&sr=1-187
Daikin 1.8 Ton 5 Star Inverter Split AC,,,,Daikin,FTKR60U,1.8 Tons,923.07 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Daikin-Inverter-Copper-Filter-FTKR60U/dp/B09R4RMSHZ/ref=sr_1_188?qid=1681802724&s=kitchen&sr=1-188
Carrier 1.5 Ton 3 Star AI Flexicool Hybridjet Inverter Split AC,,,,Carrier,CAI18IN3R32F0,1.5 Tons,1046.3 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Carrier-Flexicool-Hybridjet-Inverter-Anti-Viral/dp/B0BV9SMQJ8/ref=sr_1_189?qid=1681802724&s=kitchen&sr=1-189
Voltas Split Inverter AC Floral 1.5 Ton 4 Star,62490,36%,40150,Voltas,4503079- 184V SZS-Floral,1.5 Tons,966.04 Kilowatt Hours,18-04-2023,https://amazon.in/Voltas-Inverter-Floral-184V-SZS-Floral/dp/B09SM74WDR/ref=sr_1_190?qid=1681802724&s=kitchen&sr=1-190
