Title,MRP(Rs.),Savings(%),Price(Rs.),Brand,Model,Capacity,Annual Energy Consumption,Date,Link
"Voltas 1.5 Ton 3 Star, Inverter Window AC",46990,33%,31499,Voltas,183V Vertis Elite,1.5 Tons,3500 Watts,18-04-2023,https://amazon.in/Voltas-Adjustable-Inverter-Window-Copper/dp/B0BBFW95RD/ref=sr_1_45?qid=1681800659&s=kitchen&sr=1-45
"Voltas 2 Ton 3 Star, Inverter Split AC",79990,40%,47999,Voltas,243V Vectra Elite,2 Tons,6000 Watts,18-04-2023,https://amazon.in/Voltas-Adjustable-Inverter-Copper-VECTRA/dp/B0BBFTT3YL/ref=sr_1_46?qid=1681800659&s=kitchen&sr=1-46
Carrier 2 Ton 3 Star AI Flexicool Inverter Split AC,80890,40%,48490,Carrier,CAI24ES3R32F0,2 Tons,1249.82 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Carrier-Inverter-Split-Copper-Flexicool/dp/B0B67S3TXP/ref=sr_1_47?qid=1681800659&s=kitchen&sr=1-47
"Voltas 0.8 Ton 3 Star, Inverter Split AC",54990,50%,27490,Voltas,103V Vectra Elite,0.8 Tons,2720 Watts,18-04-2023,https://amazon.in/Voltas-Adjustable-103V-Vectra-Elite/dp/B0BSLKLG4L/ref=sr_1_48?qid=1681800659&s=kitchen&sr=1-48
Blue Star 1.5 Ton 3 Star Fixed Speed Window AC,39500,22%,30900,Blue Star,WFA318LN,1.5 Tons,1168.9 Kilowatt Hours,18-04-2023,https://amazon.in/Blue-Star-Hydrophilic-Self-Diagnosis-WFA318LN/dp/B0BDML494F/ref=sr_1_49?qid=1681800659&s=kitchen&sr=1-49
Samsung 1.5 Ton 5 Star Wind-Free Technology Inverter Split AC,73990,37%,46499,Samsung,AR18CYNAMWK,1.5 Tons,1 Kilowatt Hours,18-04-2023,https://amazon.in/Samsung-Technology-Convertible-Anti-bacterial-AR18CYNAMWK/dp/B0BRQCKLKR/ref=sr_1_50?qid=1681800659&s=kitchen&sr=1-50
Amazon Basics 0.75 Ton 4 Star Fixed Speed Window AC,31990,25%,23990,AmazonBasics,AB2021INAC033,0.75 Tons,,18-04-2023,https://amazon.in/AmazonBasics-Ton-Star-Inverter-Conditioner/dp/B07L3V7449/ref=sr_1_51?qid=1681801010&s=kitchen&sr=1-51
"Voltas 1 Ton 3 Star, Inverter Split AC",56990,47%,30285,Voltas,123V Vectra Elite,1 Tons,3300 Watts,18-04-2023,https://amazon.in/Voltas-Adjustable-123V-Vectra-Elite/dp/B0BQR2FW4Y/ref=sr_1_52?qid=1681801010&s=kitchen&sr=1-52
Lloyd 1.0 Ton 3 Star Fixed Speed Window AC,43990,42%,25690,Lloyd,GLW12C3XWSEW,1 Tons,774.11 Kilowatt Hours,18-04-2023,https://amazon.in/Lloyd-Window-Copper-Silver-GLW12C3XWSEW/dp/B0BRKXV3MR/ref=sr_1_53?qid=1681801010&s=kitchen&sr=1-53
"Voltas 1 Ton 3 Star, Inverter Split AC",,,,Voltas,123V Vectra Elegant,1 Tons,3300 Watts,18-04-2023,https://amazon.in/Voltas-Adjustable-123V-Vectra-Elegant/dp/B0BQR2491B/ref=sr_1_54?qid=1681801010&s=kitchen&sr=1-54
Blue Star 0.8 Ton 3 Star Fixed Speed Window AC,30000,17%,24990,Blue Star,WFA309GN,0.8 Tons,611.54 Kilowatt Hours,18-04-2023,https://amazon.in/Blue-Star-Hydrophilic-Self-Diagnosis-WFA309GN/dp/B0BDMN6XJ3/ref=sr_1_55?qid=1681801010&s=kitchen&sr=1-55
LG 2.0 Ton 3 Star AI DUAL Inverter Split AC,85990,36%,54990,LG,RS-Q24ENXE,2 Tons,1232.78 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/LG-Convertible-Anti-Virus-Protection-RS-Q24ENXE/dp/B0BQ7GK9HW/ref=sr_1_56?qid=1681801010&s=kitchen&sr=1-56
"Voltas 1.5 Ton 3 Star, Inverter Split AC",,,,Voltas,183V Vertis Emerald,1.5 Tons,4950 Watts,18-04-2023,https://amazon.in/Voltas-Adjustable-183V-Vertis-Emerald/dp/B0BQR1ZYNC/ref=sr_1_57?qid=1681801010&s=kitchen&sr=1-57
Panasonic 2 Ton 4 Star Wi-Fi Inverter Smart Split AC,77150,29%,54990,Panasonic,CS/CU-NU24YKY4W,2 Tons,1075.57 Kilowatt Hours,18-04-2023,https://amazon.in/Panasonic-Convertible-additional-Purification-CU-NU24YKY4W/dp/B0BRHZM946/ref=sr_1_58?qid=1681801010&s=kitchen&sr=1-58
Daikin 1.5 Ton 3 Star Fixed Speed Split AC,55600,28%,39990,Daikin,FTL50U,1.5 Tons,989.31 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Daikin-Fixed-Copper-Filter-FTL50U/dp/B09R4QLDWK/ref=sr_1_59?qid=1681801010&s=kitchen&sr=1-59
Hitachi Split Ac - 1.5 Ton Shizen 3100S  Inverter - R32 - RSQG318HFEOF,,,,Hitachi,RSQG318HFEOF,1.5 Tons,1012.3 Kilowatt Hours,18-04-2023,https://amazon.in/SPLIT-AC-HITACHI-INVERTER-RSQG318HFEOF/dp/B0B14LQ2H5/ref=sr_1_60?qid=1681801010&s=kitchen&sr=1-60
"Voltas 2 Ton 5 Star, Inverter Split AC",93990,43%,53999,Voltas,245V Vectra Plus,2 Tons,6200 Watts,18-04-2023,https://amazon.in/Voltas-Adjustable-Inverter-Copper-VECTRA/dp/B0BBFWM5F9/ref=sr_1_61?qid=1681801010&s=kitchen&sr=1-61
"AmazonBasics 1.5 Ton, 5 Star, Wi-Fi Enabled Smart",56179,39%,34490,AmazonBasics,AB2021INAC004,1.5 Tons,,18-04-2023,https://amazon.in/AmazonBasics-1-5-Ton-Air-Conditioner/dp/B08J8SM4GD/ref=sr_1_62?qid=1681801010&s=kitchen&sr=1-62
Lloyd 1.0 Ton 2 Star Fixed Speed Window AC,,,,Lloyd,GLW12C2YWSEW,1 Tons,808.94 Kilowatt Hours,18-04-2023,https://amazon.in/Lloyd-Window-Copper-Silver-GLW12C2YWSEW/dp/B0BRKYG6F7/ref=sr_1_63?qid=1681801010&s=kitchen&sr=1-63
Lloyd 2.0 Ton 3 Star Inverter Split AC,77990,40%,46900,Lloyd,GLS24I3FWSEV,2 Tons,1261.37 Kilowatt Hours,18-04-2023,https://amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS24I3FWSEV/dp/B0BRKY8MMB/ref=sr_1_64?qid=1681801010&s=kitchen&sr=1-64
Daikin 1.8 Ton 3 Star Inverter Split AC,72900,30%,50999,Daikin,ATKL60UV16,1.8 Tons,1161.78 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Daikin-Inverter-Copper-Bacterial-ATKL60UV16/dp/B0BK1GTTKC/ref=sr_1_65?qid=1681801010&s=kitchen&sr=1-65
"Whirlpool 2.0 Ton 3 Star, Flexicool Inverter Split AC",78200,46%,41990,Whirlpool,42382,2 Tons,1209.98 Kilowatts,18-04-2023,https://amazon.in/Whirlpool-Flexicool-Inverter-Convertible-SUPREMECOOL/dp/B0BS6ZT18T/ref=sr_1_66?qid=1681801010&s=kitchen&sr=1-66
LG 1.5 Ton 3 Star DUAL Inverter Window AC,,,,,,,,18-04-2023,https://amazon.in/LG-Inverter-Convertible-cooling-PW-Q18WUXA/dp/B0BJBP7F1Z/ref=sr_1_67?qid=1681801010&s=kitchen&sr=1-67
Blue Star 2 Ton 3 Star Convertible 5 in 1 Cooling Inverter Split AC,71750,33%,48000,Blue Star,IC324YNU,2 Tons,1261.37 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Blue-Star-Convertible-Stabalizer-IC324YNU/dp/B0BW985W1N/ref=sr_1_68?qid=1681801010&s=kitchen&sr=1-68
Voltas 2 Ton 5 Star Inverter Split AC,84990,31%,58890,Voltas,245V EAZS,2 Tons,1030 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Voltas-Inverter-Condenser-245V-EAZS/dp/B0B4WYNW1G/ref=sr_1_69?qid=1681801010&s=kitchen&sr=1-69
Haier 1.5 Ton 5 Star Inverter Split AC,71490,41%,41990,Haier,HSU18K-PYS5BE-INV,1.5 Tons,743.05 Watts,18-04-2023,https://amazon.in/Haier-Inverter-Convertible-Antibacterial-HSU18K-PYS5BE-INV/dp/B0BSFS7Z5R/ref=sr_1_70?qid=1681801010&s=kitchen&sr=1-70
Lloyd 1.5 Ton 2 Star Fixed Speed Split AC,59990,45%,32900,Lloyd,GLS18C2XWASS,1.5 Tons,1081.43 Kilowatt Hours,18-04-2023,https://amazon.in/Lloyd-Copper-Anti-Viral-Filter-GLS18C2XWASS/dp/B0BRKY7D8X/ref=sr_1_71?qid=1681801010&s=kitchen&sr=1-71
Daikin 1.5 Ton 3 Star Inverter Split AC,58400,33%,38990,Daikin,FTKY50UV,1.5 Tons,967.4 Kilowatt Hours,18-04-2023,https://amazon.in/Daikin-Inverter-Copper-Filter-FTKY50UV/dp/B0BXB8W2BM/ref=sr_1_72?qid=1681801010&s=kitchen&sr=1-72
